ID,Nome,Preferito,Posizione,Durata,Giocatori,Età,Tipologia,Collezione,Note,ParoleChiave,URLImmagine
g0061,Pictionary,FALSE,Casa,30,4;10,,PartyGame;Deduzione;Creatività;Manualità,,,Pictionary Casa PartyGame;Deduzione;Creatività;Manualità ,https://www.dl.dropboxusercontent.com/scl/fi/0b5zlnmjz1j7v7r62wgil/Pictionary.jpeg?rlkey=1d6xk67qt0xt61p57a5z3cwfb&dl=0
g0062,Nome In Codice Visual,FALSE,Casa,15,2;8,,Creatività;PartyGame;DeduzioneParole,,parole,Nome In Codice Visual Casa Creatività;PartyGame;DeduzioneParole parole,https://www.dl.dropboxusercontent.com/scl/fi/rih8y01fo2bd5ipvhgkc6/nomeInCodice.jpg?rlkey=xjl4s2o3iyfm9lr7qopaou2pv&dl=0
g0063,Monopoli,FALSE,Casa,90,2;6,,GestioneRisorse;Classico;StrategiaGenerica,,,Monopoli Casa GestioneRisorse;Classico;StrategiaGenerica ,https://www.dl.dropboxusercontent.com/scl/fi/a9dwthdkl25iidd8c281h/monopoli.png?rlkey=dfo9fgjzxl05hs7p13y4ngm8k&dl=0
g0064,Similo Storia,FALSE,Casa,10,2;12,7,PartyGame;DeduzioneParole;Educativo,g0064,,Similo Storia Casa PartyGame;DeduzioneParole;Educativo ,https://www.dl.dropboxusercontent.com/scl/fi/a0r3tmukb15mklp5elvoe/similoStoria.png?rlkey=86t7lwbjc6zbajlria5i6lnd9&dl=0
g0065,Similo Fiabe,FALSE,Casa,10,2;12,7,PartyGame;DeduzioneParole,g0064,,Similo Fiabe Casa PartyGame;DeduzioneParole ,https://www.dl.dropboxusercontent.com/scl/fi/4eabaur6wt768emroltlk/similoFiabe.png?rlkey=9o0czymrnsjef1n9ykqsalc39&dl=0
g0066,Speedy Words,FALSE,Casa,10;15,2;8,,Velocità;Parole;PartyGame,,parole,Speedy Words Casa Velocità;Parole;PartyGame parole,https://www.dl.dropboxusercontent.com/scl/fi/76t7xpgq7dgcrgilqifjd/speedyWords.jpeg?rlkey=4423xtfd9r7asi0d1iwzan006&dl=0
g0067,Potion,FALSE,Casa,10;20,3;7,,StrategiaGenerale;GestionRisorse,,,Potion Casa StrategiaGenerale;GestionRisorse ,https://www.dl.dropboxusercontent.com/scl/fi/lq9ezqeqywlz94bozbs7h/potion.jpg?rlkey=sdwpbctl1f0buk8vd1chilz9u&dl=0
g0068,Hive,FALSE,Casa,20,2,,StrategiaGenerica;Scacchi,,,Hive Casa StrategiaGenerica;Scacchi ,https://www.dl.dropboxusercontent.com/scl/fi/fwwnc06ej3olyouwsgg0g/hive.png?rlkey=6f9vcshtzzm0dy83t08hhwelu&dl=0
g0069,Cluedo Travel,FALSE,Casa,30,3;6,,StrategiaGenerica;Deduzione;Portatile,,,Cluedo Travel Casa StrategiaGenerica;Deduzione;Portatile ,https://www.dl.dropboxusercontent.com/scl/fi/4cuuilid2t51sog20dnjg/cluedoTravel.jpeg?rlkey=dlkgepqwbb76l72456hrtcj2z&dl=0
g0070,Lego - Creationary,FALSE,Casa,30,3;8,,PartyGame;Deduzione;Creatività;Manualità,,creativita,Lego - Creationary Casa PartyGame;Deduzione;Creatività;Manualità creativita,https://www.dl.dropboxusercontent.com/scl/fi/au4rh056gj26pn7mvpext/legoCreationary.jpeg?rlkey=gw9504m4pygx6pkzj16iwu9av&dl=0
g0071,Bluff Party,FALSE,Casa,120,4;50,,PartyGame;Bluff,,,Bluff Party Casa PartyGame;Bluff ,https://www.dl.dropboxusercontent.com/scl/fi/parf0pnvesi1rl0q8ootc/bluffParty.jpg?rlkey=74blqve7c34x0ozbm4frww4t3&dl=0
g0072,Carcassonne,FALSE,Casa,40,2;5,,StrategiaGenerica;Fortuna,,,Carcassonne Casa StrategiaGenerica;Fortuna ,https://www.dl.dropboxusercontent.com/scl/fi/8ua8cch19b3r0xckormat/carcassonne.jpg?rlkey=wzd5yppts890p3ooox0n2pyyw&dl=0
g0073,Focus Storia,FALSE,Casa,45,2;4,,Educativo;StrategiaGenerica,,istruttivi,Focus Storia Casa Educativo;StrategiaGenerica istruttivi,https://www.dl.dropboxusercontent.com/scl/fi/zmb3rdro29qvx019mxcie/focusStoria.png?rlkey=b4eg5hstplh9hidr5mq2fbhsp&dl=0
g0074,Parola per Parola,FALSE,Casa,20,2;12,,Parole;PartyGame,,parole,Parola per Parola Casa Parole;PartyGame parole,https://www.dl.dropboxusercontent.com/scl/fi/ik7gnpsa4aia27ivn23kd/parola-per-parola.jpeg?rlkey=4e0knzycso8g9w7pksgp91bd4&dl=0
g0075,Couleur de Paris,FALSE,Casa,45,2;4,,StrategiaGenerica;Plancia;GestioneRisorse,,colori,Couleur de Paris Casa StrategiaGenerica;Plancia;GestioneRisorse colori,https://www.dl.dropboxusercontent.com/scl/fi/g6cm5yemys5b1ylgi5w7h/coleurDeParis.jpeg?rlkey=73ffke1rfyvzkbnehl9szoqet&dl=0
